ReturnKey,DateKey,CustomerKey,ProductKey,CountryKey,Invoice,StockCode,ReturnQty,ReturnAmount
69,20091201,1662,3037,41,C489577,37501,1,6.95
70,20091201,4682,851,41,C489578,21481,1,2.95
71,20091201,2246,3365,41,C489583,72807B,1,4.25
72,20091201,2246,3357,41,C489583,72802C,1,4.25
73,20091201,2246,3356,41,C489583,72802B,2,8.5
74,20091201,2246,4216,41,C489583,85047,1,6.35
75,20091201,4024,968,41,C489587,21639,5,4.25
76,20091201,1346,3446,41,C489588,79323P,2,13.5
77,20091201,1346,3444,41,C489588,79323GR,2,13.5
78,20091201,1346,1361,41,C489588,22120,1,9.95
79,20091201,3755,889,41,C489589,21535,1,2.55
80,20091201,3755,1314,41,C489589,22073,1,3.75
81,20091201,571,3442,41,C489591,79323B,3,16.35
82,20091201,5862,1527,41,C489592,22301,2,5.1
83,20091201,2868,1074,41,C489595,21752,1,14.95
84,20091201,2183,652,41,C489605,21257,2,15.9
85,20091201,0,744,41,C489610,21364,1,6.75
86,20091201,0,1401,41,C489610,22164,1,2.95
87,20091201,0,1188,41,C489610,21892,3,3.75
88,20091201,0,225,41,C489610,20682,1,3.25
89,20091201,0,4301,41,C489610,85123A,1,2.95
90,20091201,0,1378,41,C489610,22138,2,9.9
91,20091201,1022,326,41,C489632,20814,12,15.0
92,20091201,1022,326,41,C489632,20814,1,1.25
93,20091201,4935,918,41,C489636,21576,2,4.5
94,20091201,4935,921,41,C489636,21579,1,2.25
95,20091201,4935,920,41,C489636,21578,2,4.5
96,20091201,4935,1381,41,C489636,22142,2,2.9
97,20091201,4935,1384,41,C489636,22145,2,4.2
98,20091201,4935,1383,41,C489636,22144,1,2.1
99,20091201,4935,714,41,C489636,21329,8,13.2
100,20091201,4935,715,41,C489636,21330,9,14.85
101,20091201,4935,3524,41,C489636,84029E,4,15.0
102,20091201,4935,3538,41,C489636,84032B,3,8.850000000000001
103,20091201,4935,919,41,C489636,21577,1,2.25
104,20091201,3361,229,41,C489643,20686,1,3.25
105,20091201,3361,1404,41,C489643,22167,1,9.95
106,20091201,3361,3942,41,C489643,84839,2,13.5
107,20091201,3361,806,41,C489643,21429,1,1.65
108,20091201,3361,3188,41,C489643,47594B,1,1.95
109,20091201,0,226,41,489655,20683,44,0.0
110,20091202,177,1149,15,C489685,21843,1,10.95
111,20091202,4610,3429,41,C489686,79191C,2,1.7
112,20091202,2967,1149,41,C489689,21843,2,21.9
113,20091202,407,522,22,C489713,21094,150,96.0
114,20091202,407,1312,22,C489713,22071,18,49.5
115,20091202,407,1311,22,C489713,22070,23,63.25
116,20091202,1260,401,41,C489771,20914,1,2.95
117,20091202,719,1222,41,C489799,21929,2,3.9
118,20091202,719,247,41,C489799,20711,2,3.9
119,20091202,4394,1149,41,C489803,21843,1,10.95
120,20091202,0,177,41,489806,18010,770,0.0
121,20091202,5444,3640,41,C489813,84472,1,45.95
122,20091202,5444,3769,41,C489813,84622,1,5.95
123,20091202,0,556,41,489820,21133,720,0.0
124,20091202,0,4224,41,489821,85049G,240,0.0
125,20091202,958,3366,41,C489828,72807C,2,8.5
126,20091202,125,1435,16,C489858,22198,7,11.549999999999999
127,20091202,125,401,16,C489858,20914,3,8.850000000000001
128,20091202,0,4538,41,C489860,90029,1,8.5
129,20091202,0,529,28,C489881,21102,31,79.05
130,20091202,0,3355,28,C489881,72802A,16,68.0
131,20091203,0,3444,41,489899,79323GR,954,0.0
132,20091203,0,526,41,489901,21098,200,0.0
133,20091203,358,4460,16,C489911,85232A,6,29.700000000000003
134,20091203,358,859,16,C489911,21491,3,5.85
135,20091203,358,809,16,C489911,21432,1,5.95
136,20091203,138,371,35,C489955,20870,1,2.1
137,20091203,138,633,35,C489955,21232,1,1.25
138,20091203,2514,1285,41,C489958,22044,1,0.42
139,20091203,2514,4246,41,C489958,85069,3,50.849999999999994
140,20091203,5442,633,41,C489973,21232,6,7.5
141,20091203,5442,1304,41,C489973,22063,1,2.95
142,20091203,0,3594,41,490007,84347,720,0.0
143,20091203,0,1250,41,490016,21982,1012,0.0
144,20091203,3766,1450,41,C490051,22215,2,17.0
145,20091203,3766,1455,41,C490051,22220,2,19.9
146,20091203,0,193,41,490055,20620,25,0.0
147,20091203,651,1379,41,C490076,22139,1,4.95
148,20091203,0,4241,41,490084,85064,89,0.0
149,20091203,1096,260,41,C490096,20726,1,1.65
150,20091203,5159,1167,41,C490098,21868,5,6.25
151,20091203,4170,1485,41,C490117,22258,48,60.0
152,20091203,1906,521,15,C490120,21092,12,10.2
153,20091203,1906,527,15,C490120,21099,12,7.800000000000001
154,20091203,1906,522,15,C490120,21094,12,10.2
155,20091203,1906,510,15,C490120,21080,12,10.2
156,20091203,1906,515,15,C490120,21086,12,7.800000000000001
157,20091203,1906,544,15,C490120,21121,24,30.0
158,20091203,1906,1578,15,C490120,22352,12,30.599999999999998
159,20091203,1906,1579,15,C490120,22353,6,15.299999999999999
160,20091203,1906,616,15,C490120,21212,24,13.200000000000001
161,20091203,1906,4133,15,C490120,84997A,6,22.5
162,20091203,1906,4136,15,C490120,84997D,6,22.5
163,20091203,1906,1559,15,C490120,22333,16,26.4
164,20091203,1906,225,15,C490120,20682,6,19.5
165,20091203,1906,224,15,C490120,20681,6,19.5
166,20091203,1906,1185,15,C490120,21889,12,15.0
167,20091203,1906,1557,15,C490120,22331,8,13.2
168,20091203,1906,1378,15,C490120,22138,9,44.550000000000004
169,20091203,4149,809,41,C490122,21432,1,5.95
170,20091203,4149,894,41,C490122,21540,1,4.25
171,20091203,0,860,41,490130,21493,600,0.0
172,20091203,5242,3936,41,C490131,84828,12,15.0
173,20091203,5525,3257,41,C490133,72045D,504,851.76
174,20091203,5525,429,41,C490133,20971,600,636.0
175,20091203,5525,701,41,C490133,21314,504,932.4000000000001
176,20091203,5525,701,41,C490133,21314,252,466.20000000000005
177,20091203,5525,701,41,C490133,21314,246,455.1
178,20091204,0,911,41,490146,21558,169,0.0
179,20091204,4556,4301,41,C490148,85123A,1,2.95
180,20091204,179,660,15,C490153,21265,1,9.95
181,20091204,179,881,15,C490153,21527,2,15.9
182,20091204,179,1417,15,C490153,22180,2,19.9
183,20091204,1851,3483,41,C490155,82483,1,5.95
184,20091204,0,860,41,490165,21493,106,0.0
185,20091204,4141,3544,41,C490251,84081,1,4.25
186,20091204,2152,3393,41,C490269,78056,1,8.5
187,20091204,2152,893,41,C490269,21539,1,4.95
188,20091204,4,1313,21,C490283,22072,1,3.75
189,20091204,4,401,21,C490283,20914,1,2.95
190,20091204,4,632,21,C490283,21231,1,1.25
191,20091204,4,633,21,C490283,21232,1,1.25
192,20091204,4,273,21,C490283,20747,1,14.95
193,20091204,4783,1257,41,C490306,21989,36,30.599999999999998
194,20091204,0,1378,41,C490309,22138,3,14.850000000000001
195,20091204,1719,963,41,C490343,21634,24,30.0
196,20091204,5461,4479,41,C490348,90002E,1,3.75
197,20091204,5461,4568,41,C490348,90040C,3,10.5
198,20091204,5461,4566,41,C490348,90040A,3,10.5
199,20091204,5461,4479,41,C490350,90002E,2,7.5
200,20091204,0,857,41,490354,21489,23,0.0
201,20091204,5800,881,41,C490358,21527,6,47.7
202,20091204,5800,4243,41,C490358,85066,3,32.849999999999994
203,20091204,5800,889,41,C490358,21535,2,5.1
204,20091204,5800,893,41,C490358,21539,1,4.95
205,20091204,5800,653,41,C490358,21258,5,54.75
206,20091205,0,858,41,490379,21490,44,0.0
207,20091205,0,3847,41,490384,84721,42,0.0
208,20091206,2674,4348,41,C490402,85159A,1,6.35
209,20091206,2674,4348,41,C490460,85159A,2,12.7
210,20091206,1371,1149,41,C490462,21843,1,10.95
211,20091206,3997,3595,41,C490469,84352,1,16.95
212,20091206,3997,4811,41,C490469,90195A,3,26.849999999999998
213,20091206,3997,3637,41,C490469,84466,1,1.25
214,20091206,3997,882,41,C490469,21528,1,6.95
215,20091206,3997,1136,41,C490475,21826,12,15.0
216,20091206,2342,1424,41,C490480,22187,2,8.5
217,20091206,3362,4660,41,C490492,90121B,3,12.75
218,20091206,5425,4085,41,C490495,84968B,1,12.75
219,20091206,5545,4216,41,C490497,85047,1,6.35
220,20091206,3158,3016,41,C490498,37483,1,2.55
221,20091206,2231,1424,41,C490507,22187,2,8.5
222,20091206,2231,1239,41,C490507,21950,1,1.25
223,20091206,2231,2993,41,C490507,37448,1,1.49
224,20091206,3430,1421,41,C490509,22184,1,8.5
225,20091206,3430,4217,41,C490509,85048,2,15.9
226,20091206,859,3169,41,C490510,47589,3,16.35
227,20091206,859,431,41,C490510,20973,1,0.65
228,20091206,5193,4213,41,C490513,85043,1,4.95
229,20091206,5193,1058,41,C490513,21734,1,3.75
230,20091206,5193,261,41,C490513,20727,1,1.65
231,20091206,5193,431,41,C490513,20973,2,1.3
232,20091206,5193,1057,41,C490513,21733,1,2.95
233,20091206,5193,4461,41,C490513,85232B,1,4.95
234,20091206,5193,23,41,C490513,15044D,1,2.95
235,20091206,5193,1408,41,C490513,22171,1,8.5
236,20091206,859,3169,41,C490520,47589,1,5.45
237,20091206,3302,822,41,C490532,21450,10,59.5
238,20091207,0,2991,41,490540,37446,725,0.0
239,20091207,3766,1379,41,C490544,22139,6,29.700000000000003
240,20091207,1744,1561,41,C490565,22335,48,31.200000000000003
241,20091207,1744,881,41,C490565,21527,2,15.9
242,20091207,1744,1527,41,C490565,22301,1,2.55
243,20091207,4006,742,41,C490666,21361,1,12.75
244,20091207,2320,4860,41,C490700,90214G,6,7.5
245,20091207,2320,4869,41,C490700,90214P,6,7.5
246,20091207,2320,4858,41,C490700,90214E,6,7.5
247,20091207,2320,4863,41,C490700,90214J,6,7.5
248,20091207,2320,4871,41,C490700,90214S,6,7.5
249,20091207,2320,4856,41,C490700,90214C,6,7.5
250,20091207,2320,4854,41,C490700,90214A,6,7.5
251,20091207,2320,4865,41,C490700,90214L,6,7.5
252,20091207,2320,4862,41,C490700,90214I,6,7.5
253,20091207,330,1378,15,C490701,22138,1,4.95
254,20091207,330,257,15,C490701,20723,1,0.85
255,20091207,78,3148,1,C490702,47566,1,4.65
256,20091207,78,3171,1,C490702,47590B,3,16.35
257,20091207,0,3594,41,490713,84347,20,0.0
258,20091207,0,1397,41,490715,22158,30,0.0
259,20091207,1786,633,12,C490721,21232,1,1.25
260,20091207,1786,3882,12,C490721,84782C,1,12.75
261,20091207,0,2954,41,490735,35976B,60,0.0
262,20091207,4038,1522,41,C490739,22295,12,19.799999999999997
263,20091207,1839,2827,41,C490740,35400,1,8.95
264,20091207,1440,881,41,C490742,21527,1,7.95
265,20091207,1440,4240,41,C490742,85063,1,16.95
266,20091207,0,2994,41,C490743,37449,1,9.95
267,20091207,4156,951,41,C490744,21622,1,4.95
268,20091207,4156,989,41,C490744,21662,1,5.95
269,20091207,4156,990,41,C490744,21663,1,5.95
270,20091207,4156,986,41,C490744,21658,1,3.95
271,20091207,4156,4145,41,C490744,85014B,1,5.95
272,20091207,1645,4242,41,C490746,85065,1,12.75
273,20091207,1645,4244,41,C490746,85067,1,18.95
274,20091207,1645,4240,41,C490746,85063,1,16.95
275,20091207,1645,1378,41,C490746,22138,6,29.700000000000003
276,20091208,78,548,1,C490756,21125,1,1.25
277,20091208,78,549,1,C490756,21126,2,2.5
278,20091208,0,822,41,490765,21450,31,0.0
279,20091208,0,3212,41,490766,51008,200,0.0
280,20091208,1906,3484,15,C490768,82484,1,6.45
281,20091208,1906,3640,15,C490768,84472,1,45.95
282,20091208,4191,1302,41,C490773,22061,1,9.95
283,20091208,4191,1301,41,C490773,22060,1,9.95
284,20091208,1906,521,15,C490798,21092,12,10.2
285,20091208,1906,527,15,C490798,21099,12,7.800000000000001
286,20091208,1906,522,15,C490798,21094,12,10.2
287,20091208,1906,510,15,C490798,21080,12,10.2
288,20091208,1906,515,15,C490798,21086,12,7.800000000000001
289,20091208,1906,544,15,C490798,21121,24,30.0
290,20091208,1906,1578,15,C490798,22352,12,30.599999999999998
291,20091208,1906,1579,15,C490798,22353,6,15.299999999999999
292,20091208,1906,616,15,C490798,21212,24,13.200000000000001
293,20091208,1906,4133,15,C490798,84997A,6,22.5
294,20091208,1906,4136,15,C490798,84997D,6,22.5
295,20091208,1906,1559,15,C490798,22333,16,26.4
296,20091208,1906,225,15,C490798,20682,6,19.5
297,20091208,1906,224,15,C490798,20681,6,19.5
298,20091208,1906,1185,15,C490798,21889,12,15.0
299,20091208,1906,1557,15,C490798,22331,8,13.2
300,20091208,1906,1378,15,C490798,22138,9,44.550000000000004
301,20091208,740,204,41,C490807,20661,12,35.400000000000006
302,20091208,740,1197,41,C490807,21901,48,31.200000000000003
303,20091208,740,1364,41,C490807,22123,12,71.4
304,20091208,740,1411,41,C490807,22174,24,39.599999999999994
305,20091208,740,1336,41,C490807,22095,36,38.160000000000004
306,20091208,740,1348,41,C490807,22107,32,108.48
307,20091208,740,1067,41,C490807,21743,24,70.80000000000001
308,20091208,740,526,41,C490807,21098,36,45.0
309,20091208,740,858,41,C490807,21490,12,23.4
310,20091208,740,3217,41,C490807,51014L,60,51.0
311,20091208,740,409,41,C490807,20940,18,53.1
312,20091208,740,4382,41,C490807,85175,96,40.32
313,20091208,740,3825,41,C490807,84692,50,21.0
314,20091208,740,4436,41,C490807,85217,24,15.600000000000001
315,20091208,740,1027,41,C490807,21700,24,20.4
316,20091208,740,1305,41,C490807,22064,24,39.599999999999994
317,20091208,740,201,41,C490807,20658,12,15.0
318,20091208,740,213,41,C490807,20670,6,17.700000000000003
319,20091208,740,208,41,C490807,20665,12,35.400000000000006
320,20091208,740,3661,41,C490807,84510A,10,12.5
321,20091208,740,1170,41,C490807,21871,12,15.0
322,20091208,740,1169,41,C490807,21870,12,15.0
323,20091208,740,3736,41,C490807,84596E,16,20.0
324,20091208,740,3735,41,C490807,84596B,16,20.0
325,20091208,740,1165,41,C490807,21866,12,15.0
326,20091208,740,963,41,C490807,21634,24,30.0
327,20091208,740,3215,41,C490807,51014A,60,51.0
328,20091208,740,44,41,C490807,16033,120,14.399999999999999
329,20091208,740,14,41,C490807,10138,96,40.32
330,20091208,740,1271,41,C490807,22030,48,20.16
331,20091208,740,3542,41,C490807,84077,96,20.16
332,20091208,740,3216,41,C490807,51014C,60,51.0
333,20091208,740,1029,41,C490807,21703,36,15.12
334,20091208,740,2805,41,C490807,35004B,12,55.800000000000004
335,20091208,740,3528,41,C490807,84030C,4,15.0
336,20091208,740,3524,41,C490807,84029E,4,15.0
337,20091208,740,3525,41,C490807,84029G,4,15.0
338,20091208,4803,4242,41,C490866,85065,1,12.75
339,20091208,4803,3213,41,C490866,51012C,1,1.25
340,20091208,4803,3483,41,C490866,82483,1,5.95
341,20091208,4803,338,41,C490866,20829,1,2.1
342,20091208,4803,3447,41,C490866,79323S,1,6.75
343,20091208,3766,1378,41,C490923,22138,3,14.850000000000001
344,20091208,1547,1379,41,C490929,22139,4,19.8
345,20091208,1547,1378,41,C490929,22138,4,19.8
346,20091208,0,4217,41,C490931,85048,1,7.95
347,20091208,1786,401,12,C490934,20914,1,2.55
348,20091208,2940,3210,41,C490935,48195,2,13.5
349,20091208,2940,3262,41,C490935,72127,1,1.25
350,20091208,2940,4435,41,C490935,85216,1,0.65
351,20091208,2940,4212,41,C490935,85042,1,4.95
352,20091208,2940,4344,41,C490935,85150,6,15.299999999999999
353,20091208,2940,1082,41,C490935,21761,1,29.95
354,20091208,2940,833,41,C490935,21463,1,5.95
355,20091208,2940,3942,41,C490935,84839,1,6.75
356,20091208,2940,4356,41,C490935,85162A,1,9.95
357,20091208,4333,1578,41,C490939,22352,6,15.299999999999999
358,20091208,0,918,41,C490942,21576,6,13.5
359,20091208,0,922,41,C490942,21580,6,13.5
360,20091208,0,923,41,C490942,21581,8,18.0
361,20091208,0,1006,41,C490942,21679,12,10.2
362,20091208,0,1105,41,C490942,21791,12,15.0
363,20091208,0,3580,41,C490942,84270,60,12.6
364,20091208,0,1027,41,C490942,21700,24,20.4
365,20091208,0,4436,41,C490942,85217,24,15.600000000000001
366,20091208,0,4435,41,C490942,85216,24,15.600000000000001
367,20091208,0,3537,41,C490942,84032A,8,23.6
368,20091208,0,3538,41,C490942,84032B,6,17.700000000000003
369,20091208,0,1352,41,C490942,22111,8,39.6
370,20091208,0,3525,41,C490942,84029G,4,15.0
371,20091208,0,3529,41,C490942,84030E,5,21.25
372,20091208,0,920,41,C490942,21578,6,13.5
373,20091208,0,234,41,C490942,20694,4,15.0
374,20091208,0,1184,41,C490942,21888,4,15.0
375,20091208,0,3533,41,C490942,84031A,5,23.25
376,20091208,0,3534,41,C490942,84031B,5,23.25
377,20091208,0,854,41,C490942,21485,6,29.700000000000003
378,20091208,0,921,41,C490942,21579,6,13.5
379,20091208,0,851,41,C490942,21481,6,17.700000000000003
380,20091208,0,3524,41,C490942,84029E,6,22.5
381,20091208,0,15,41,C490942,11001,16,27.04
382,20091208,0,235,41,C490942,20695,3,12.75
383,20091208,0,1185,41,C490942,21889,12,15.0
384,20091208,0,1141,41,C490942,21832,12,19.799999999999997
385,20091208,0,406,41,C490942,20935,6,17.700000000000003
386,20091208,0,407,41,C490942,20936,6,17.700000000000003
387,20091208,0,4382,41,C490942,85175,32,13.44
388,20091208,0,4379,41,C490942,85172,16,6.72
389,20091208,0,850,41,C490942,21480,6,17.700000000000003
390,20091208,0,852,41,C490942,21482,6,17.700000000000003
391,20091208,0,849,41,C490942,21479,8,30.0
392,20091208,0,1366,41,C490942,22125,3,17.85
393,20091208,740,526,41,C490946,21098,36,45.0
394,20091208,740,858,41,C490946,21490,12,23.4
395,20091208,740,3217,41,C490946,51014L,60,51.0
396,20091208,740,409,41,C490946,20940,18,53.1
397,20091208,740,4382,41,C490946,85175,96,40.32
398,20091208,740,3825,41,C490946,84692,50,21.0
399,20091208,740,4436,41,C490946,85217,24,15.600000000000001
400,20091208,740,1027,41,C490946,21700,24,20.4
401,20091208,740,1305,41,C490946,22064,24,39.599999999999994
402,20091208,740,201,41,C490946,20658,12,15.0
403,20091208,740,204,41,C490946,20661,12,35.400000000000006
404,20091208,740,208,41,C490946,20665,12,35.400000000000006
405,20091208,740,3661,41,C490946,84510A,10,12.5
406,20091208,740,1170,41,C490946,21871,12,15.0
407,20091208,740,1169,41,C490946,21870,12,15.0
408,20091208,740,3736,41,C490946,84596E,16,20.0
409,20091208,740,3735,41,C490946,84596B,16,20.0
410,20091208,740,1165,41,C490946,21866,12,15.0
411,20091208,740,963,41,C490946,21634,24,30.0
412,20091208,740,3215,41,C490946,51014A,60,51.0
413,20091208,740,44,41,C490946,16033,120,14.399999999999999
414,20091208,740,14,41,C490946,10138,96,40.32
415,20091208,740,1271,41,C490946,22030,48,20.16
416,20091208,740,3542,41,C490946,84077,96,20.16
417,20091208,740,3216,41,C490946,51014C,60,51.0
418,20091208,740,1029,41,C490946,21703,36,15.12
419,20091208,740,2805,41,C490946,35004B,12,55.800000000000004
420,20091208,740,3528,41,C490946,84030C,4,15.0
421,20091208,740,3524,41,C490946,84029E,4,15.0
422,20091208,740,3525,41,C490946,84029G,4,15.0
423,20091208,740,213,41,C490946,20670,6,17.700000000000003
424,20091208,740,1197,41,C490946,21901,48,31.200000000000003
425,20091208,740,1364,41,C490946,22123,12,71.4
426,20091208,740,1411,41,C490946,22174,24,39.599999999999994
427,20091208,740,1336,41,C490946,22095,36,38.160000000000004
428,20091208,740,1348,41,C490946,22107,32,108.48
429,20091208,740,1067,41,C490946,21743,24,70.80000000000001
430,20091208,4123,528,41,C490947,21100,1,1.65
431,20091208,3955,3124,41,C490949,47503F,1,1.65
432,20091208,4660,1174,41,C490973,21875,1,1.25
433,20091208,4660,4461,41,C490973,85232B,1,4.95
434,20091208,4053,478,41,C490974,21032,3,3.75
435,20091208,0,33,41,490975,15059A,126,0.0
436,20091208,2931,4141,41,C490977,85006,6,17.700000000000003
437,20091208,1106,4216,41,C490979,85047,3,19.049999999999997
438,20091208,2809,1545,41,C490980,22319,1,0.65
439,20091208,2809,1186,41,C490980,21890,4,11.8
440,20091208,2809,4217,41,C490980,85048,2,13.9
441,20091208,4550,1314,41,C490983,22073,1,3.75
442,20091208,3509,3121,41,C490985,47502,4,39.8
443,20091208,4419,4243,41,C490986,85066,1,12.75
444,20091208,0,4279,41,C490987,85103,5,33.75
445,20091208,0,3295,41,C490987,72739C,12,15.0
446,20091208,398,887,41,C490988,21533,1,4.95
447,20091208,398,882,41,C490988,21528,1,6.95
448,20091208,1053,906,41,C490991,21553,1,5.95
449,20091208,1053,907,41,C490991,21554,1,5.95
450,20091208,1535,3035,11,C490993,37495,3,11.25
451,20091208,1535,833,11,C490993,21463,1,5.95
452,20091208,5645,4216,41,C490994,85047,1,6.35
453,20091208,5827,386,41,C490995,20892,6,76.5
454,20091208,3541,1375,41,C490996,22135,12,5.04
455,20091208,3541,2843,41,C490996,35599D,6,17.700000000000003
456,20091208,3541,3991,41,C490996,84879,8,13.52
457,20091208,3541,4151,41,C490996,85016,6,15.299999999999999
458,20091208,3541,1503,41,C490996,22276,6,15.299999999999999
459,20091208,3541,1371,41,C490996,22131,6,11.7
460,20091208,3541,4379,41,C490996,85172,16,6.72
461,20091208,3541,1252,41,C490996,21984,48,13.919999999999998
462,20091208,3541,1268,41,C490996,22027,12,5.04
463,20091208,3541,1195,41,C490996,21899,24,15.600000000000001
464,20091208,3541,1198,41,C490996,21902,24,15.600000000000001
465,20091208,3541,1197,41,C490996,21901,24,15.600000000000001
466,20091208,3541,1295,41,C490996,22054,8,13.2
467,20091208,3541,3210,41,C490996,48195,2,13.5
468,20091208,3541,1567,41,C490996,22341,12,19.799999999999997
469,20091208,3541,1318,41,C490996,22077,12,19.799999999999997
470,20091208,3541,1417,41,C490996,22180,2,19.9
471,20091208,3541,1354,41,C490996,22113,4,13.8
472,20091208,3541,464,41,C490996,21010,12,15.0
473,20091208,3541,2955,41,C490996,35979,6,17.700000000000003
474,20091208,3541,2954,41,C490996,35976B,12,15.0
475,20091208,3541,2833,41,C490996,35594,24,10.08
476,20091208,2529,980,12,C490997,21652,6,11.7
477,20091208,784,1222,41,C491000,21929,1,1.65
478,20091208,5116,273,41,C491001,20747,1,14.95
479,20091208,0,3447,41,C491002,79323S,4,27.0
480,20091208,0,3456,41,C491002,79342B,6,40.5
481,20091208,4930,1173,41,C491003,21874,2,2.5
482,20091208,4930,1059,41,C491003,21735,1,12.75
483,20091208,4930,3212,41,C491003,51008,3,10.350000000000001
484,20091208,4930,3485,41,C491003,82486,2,15.9
485,20091208,4930,711,41,C491003,21326,6,3.9000000000000004
486,20091208,4930,1059,41,C491003,21735,2,25.5
487,20091208,1915,739,41,C491004,21358,1,1.25
488,20091208,1915,1260,41,C491004,21992,6,17.700000000000003
489,20091208,1915,918,41,C491004,21576,1,2.25
490,20091208,1368,632,41,C491012,21231,2,2.5
491,20091208,2529,654,12,C491013,21259,1,5.95
492,20091208,2529,645,12,C491013,21249,6,17.700000000000003
493,20091208,2529,1149,12,C491013,21843,1,10.95
494,20091208,5195,717,41,C491015,21332,1,12.75
495,20091208,2525,1388,41,C491016,22149,6,12.600000000000001
496,20091208,1279,4214,41,C491017,85044,1,4.95
497,20091208,755,3441,41,C491018,79321,1,4.95
498,20091208,755,4216,41,C491018,85047,2,12.7
499,20091208,2752,616,41,C491019,21212,24,13.200000000000001
500,20091208,2752,1055,41,C491019,21731,12,19.799999999999997
501,20091208,2752,1426,41,C491019,22189,2,7.9
502,20091208,399,2827,41,C491020,35400,4,31.8
503,20091208,2529,1420,12,C491021,22183,1,6.75
504,20091208,2439,570,41,C491022,21157,6,12.600000000000001
505,20091208,2439,208,41,C491022,20665,6,17.700000000000003
506,20091208,2439,1379,41,C491022,22139,3,14.850000000000001
507,20091208,3577,4381,41,C491023,85174,64,272.0
508,20091208,3577,536,41,C491023,21112,168,428.4
509,20091208,2796,1366,41,C491027,22125,48,237.60000000000002
