ProductKey,Revenue,Orders,Units,StockCode,Description
1930,37857.61,1363,9565,22727,ALARM CLOCK BAKELIKE RED
879,36565.22,1150,5329,21524,DOORMAT SPOTTY HOME SWEET HOME
258,35558.229999999996,2035,32443,20724,RED RETROSPOT CHARLOTTE BAG
1601,35362.76,1570,16053,22379,RECYCLING BAG RETROSPOT
1076,35356.39,1696,5726,21755,LOVE BUILDING BLOCK WORD
4134,34949.56,1019,9378,84997B,RED 3 PIECE MINI DOTS CUTLERY SET
849,34560.68,930,6857,21479,WHITE SKULL HOT WATER BOTTLE
1606,34425.81,2106,20988,22384,LUNCH BAG PINK POLKADOT
1870,34421.200000000004,1657,10928,22666,RECIPE BOX PANTRY YELLOW DESIGN
1604,34317.59,2153,20386,22382,LUNCH BAG SPACEBOY DESIGN
1836,33923.45,1333,18334,22630,DOLLY GIRL LUNCH BOX
1929,33666.34,1273,7935,22726,ALARM CLOCK BAKELIKE GREEN
2065,33394.91,1212,15471,22865,HAND WARMER OWL DESIGN
1425,33197.05,566,12483,22188,BLACK HEART CARD HOLDER
18,33041.55,991,44365,15036,ASSORTED COLOURS SILK FAN
4135,32942.86,951,8852,84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET
1607,32735.2,1248,17220,22385,JUMBO BAG SPACEBOY DESIGN
1828,32144.039999999997,571,3240,22622,BOX OF VINTAGE ALPHABET BLOCKS
1318,32142.039999999997,1751,17526,22077,6 RIBBONS RUSTIC CHARM
4346,31976.56,1460,16603,85152,HAND OVER THE CHOCOLATE   SIGN
3525,31927.13,1009,7307,84029G,KNITTED UNION FLAG HOT WATER BOTTLE
3204,31551.32,851,4770,48184,DOORMAT ENGLISH ROSE
1901,31431.670000000002,1353,10077,22697,GREEN REGENCY TEACUP AND SAUCER
1863,31142.57,1075,16838,22659,LUNCH BOX I LOVE LONDON
2432,31118.550000000003,873,6345,23245,SET OF 3 REGENCY CAKE TINS
4145,31088.230000000003,900,6196,85014B,RED RETROSPOT UMBRELLA
1712,30768.59,762,2637,22501,PICNIC BASKET WICKER LARGE
1955,30736.75,692,3773,22752,SET 7 BABUSHKA NESTING BOXES
222,30649.47,715,6256,20679,EDWARDIAN PARASOL RED
2386,30450.690000000002,978,14908,23199,JUMBO BAG APPLES
621,30393.48,928,2952,21217,RED RETROSPOT ROUND CAKE TINS
2066,30323.640000000003,1083,13723,22866,HAND WARMER SCOTTY DOG DESIGN
1397,30197.280000000002,718,9341,22158,3 HEARTS HANGING DECORATION RUSTIC
3483,30014.440000000002,1123,5072,82483,WOOD 2 DRAWER CABINET WHITE FINISH
3171,29532.93,872,5768,47590B,PINK HAPPY BIRTHDAY BUNTING
2067,29484.320000000003,1054,13426,22867,HAND WARMER BIRD DESIGN
1703,28999.390000000003,732,45593,22492,MINI PAINT SET VINTAGE
429,28966.21,1148,22580,20971,PINK BLUE FELT CRAFT TRINKET BOX
1680,28919.8,1095,12212,22467,GUMBALL COAT RACK
3207,28775.21,698,4889,48188,DOORMAT WELCOME PUPPIES
2530,28718.800000000003,782,5816,23355,HOT WATER BOTTLE KEEP CALM
4109,28629.82,1425,21819,84978,HANGING HEART JAR T-LIGHT HOLDER
2036,28455.98,1011,5524,22835,HOT WATER BOTTLE I AM SO POORLY
1247,28413.63,1993,56625,21977,PACK OF 60 PINK PAISLEY CAKE CASES
3497,28324.61,1176,13008,82583,HOT BATHS METAL SIGN
255,28249.92,1573,24901,20719,WOODLAND CHARLOTTE BAG
2159,28218.239999999998,1200,18069,22961,JAM MAKING SET PRINTED
1830,28010.170000000002,1219,3232,22624,IVORY KITCHEN SCALES
1223,27888.86,1321,13640,21930,JUMBO STORAGE BAG SKULLS
2388,27850.83,906,13366,23201,JUMBO BAG ALPHABET
3298,27820.879999999997,920,20113,72741,GRAND CHOCOLATECANDLE
276,27523.12,909,3772,20750,RED RETROSPOT MINI CASES
4127,27321.370000000003,2127,54537,84991,60 TEATIME FAIRY CAKE CASES
3246,27090.51,1017,33457,71459,HANGING JAM JAR T-LIGHT HOLDER
1937,27039.82,756,9820,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS
851,26925.18,1050,8537,21481,FAWN BLUE HOT WATER BOTTLE
1388,26783.86,1382,12888,22149,FELTCRAFT 6 FLOWER FRIENDS
1717,26626.56,900,5694,22507,MEMO BOARD RETROSPOT  DESIGN
3195,26483.99,720,4301,48111,DOORMAT 3 SMILEY CATS
1759,26420.749999999996,1299,15740,22551,PLASTERS IN TIN SPACEBOY
247,26183.0,1052,12836,20711,JUMBO BAG TOYS
3502,26168.760000000002,1201,12887,82600,NO SINGING METAL SIGN
510,26013.27,2123,31801,21080,SET/20 RED RETROSPOT PAPER NAPKINS
3149,25954.45,761,5831,47566B,TEA TIME PARTY BUNTING
532,25859.050000000003,613,13087,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR
1328,25507.120000000003,847,8513,22087,PAPER BUNTING WHITE LACE
881,25493.02,831,3414,21527,RED RETROSPOT TRADITIONAL TEAPOT
1325,25453.83,811,8870,22084,PAPER CHAIN KIT EMPIRE
3039,25428.329999999998,522,2465,37503,TEA TIME CAKE STAND IN GIFT BOX
3866,25386.65,1259,40703,84755,COLOUR GLASS T-LIGHT HOLDER HANGING
701,25253.850000000002,1066,11647,21314,SMALL GLASS HEART TRINKET POT
3542,25197.98,1019,109898,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS
430,25080.59,1397,20704,20972,PINK CREAM FELT CRAFT TRINKET BOX
2361,24879.13,416,2766,23173,REGENCY TEAPOT ROSES
1931,24858.52,969,6361,22728,ALARM CLOCK BAKELIKE PINK
3939,24563.170000000002,1408,20057,84836,ZINC METAL HEART DECORATION
3170,24542.88,689,4826,47590A,BLUE HAPPY BIRTHDAY BUNTING
632,24499.38,1482,19672,21231,SWEETHEART CERAMIC TRINKET BOX
1926,24459.960000000003,835,5972,22722,SET OF 6 SPICE TINS PANTRY DESIGN
1902,24377.57,1033,8194,22698,PINK REGENCY TEACUP AND SAUCER
653,24089.84,526,1687,21258,VICTORIAN SEWING BOX LARGE
1408,24081.66,661,3181,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE
1104,24063.3,1888,27904,21790,VINTAGE SNAP CARDS
1240,23949.35,729,3933,21955,DOORMAT UNION JACK GUNS AND ROSES
1105,23926.98,1313,18532,21791,VINTAGE HEADS AND TAILS CARD GAME
1831,23851.23,950,2719,22625,RED KITCHEN SCALES
3611,23816.65,841,7383,84406B,CREAM CUPID HEARTS COAT HANGER
2519,23772.07,716,10285,23344,JUMBO BAG 50'S CHRISTMAS
1811,23731.02,642,1845,22605,WOODEN CROQUET GARDEN SET
2430,23489.420000000002,470,4800,23243,SET OF TEA COFFEE SUGAR TINS PANTRY
3200,23295.82,500,4099,48173C,DOORMAT BLACK FLOCK
1761,23276.559999999998,1275,13822,22554,PLASTERS IN TIN WOODLAND ANIMALS
1354,23031.27,996,6020,22113,GREY HEART HOT WATER BOTTLE
1813,23030.05,744,2544,22607,WOODEN ROUNDERS GARDEN SET
1792,22847.670000000002,1084,18288,22585,PACK OF 6 BIRDY GIFT TAGS
1229,22818.09,1046,7823,21936,RED RETROSPOT PICNIC BAG
275,22703.16,766,3143,20749,ASSORTED COLOUR MINI CASES
2994,22672.61,477,2415,37449,CERAMIC CAKE STAND + HANGING CAKES
1763,22651.23,1196,13771,22556,PLASTERS IN TIN CIRCUS PARADE
2140,22619.82,483,2707,22941,CHRISTMAS LIGHTS 10 REINDEER
2167,22441.85,709,15075,22969,HOMEMADE JAM SCENTED CANDLES
1838,22334.47,779,11166,22632,HAND WARMER RED RETROSPOT
4097,22057.379999999997,1425,26756,84970S,HANGING HEART ZINC T-LIGHT HOLDER
4144,22024.5,684,4660,85014A,BLACK/BLUE POLKADOT UMBRELLA
614,21948.559999999998,1161,15243,21210,SET OF 72 RETROSPOT PAPER  DOILIES
1710,21898.74,774,3595,22499,WOODEN UNION JACK BUNTING
1671,21859.23,835,4457,22456,NATURAL SLATE CHALKBOARD LARGE
2389,21810.43,879,10941,23202,JUMBO BAG VINTAGE LEAF
4217,21779.2,517,2749,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS
617,21661.75,1481,40563,21213,PACK OF 72 SKULL CAKE CASES
1777,21542.29,807,5795,22570,FELTCRAFT CUSHION RABBIT
2396,21418.82,1098,13170,23209,LUNCH BAG VINTAGE DOILY
1640,21267.71,739,1557,22424,ENAMEL BREAD BIN CREAM
1582,21243.09,1584,20226,22356,CHARLOTTE BAG PINK POLKADOT
1823,21138.14,942,4384,22617,BAKING SET SPACEBOY DESIGN
622,21079.56,897,5299,21218,RED SPOTTY BISCUIT TIN
1775,21022.75,875,5683,22568,FELTCRAFT CUSHION OWL
1521,20962.02,861,16923,22294,HEART FILIGREE DOVE  SMALL
1776,20872.46,784,5717,22569,FELTCRAFT CUSHION BUTTERFLY
2393,20852.579999999998,1036,12147,23206,LUNCH BAG APPLE DESIGN
3196,20787.72,496,3459,48116,DOORMAT MULTICOLOUR STRIPE
4344,20650.38,1110,8512,85150,LADIES & GENTLEMEN METAL SIGN
257,20640.22,1379,18441,20723,STRAWBERRY CHARLOTTE BAG
912,20612.52,1221,8313,21559,STRAWBERRY LUNCH BOX WITH CUTLERY
1897,20499.08,350,17899,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN
620,20484.03,802,3940,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR"
2100,20459.510000000002,723,6349,22900,SET 2 TEA TOWELS I LOVE LONDON
1500,20301.52,810,7398,22273,FELTCRAFT DOLL MOLLY
1765,20136.649999999998,1202,14263,22558,CLOTHES PEGS RETROSPOT PACK 24
951,20080.49,626,3728,21622,VINTAGE UNION JACK CUSHION COVER
1603,19960.07,1100,9442,22381,TOY TIDY PINK POLKADOT
1629,19937.79,881,7037,22413,METAL SIGN TAKE IT OR LEAVE IT
1406,19930.8,701,2323,22169,FAMILY ALBUM WHITE PICTURE FRAME
585,19838.71,1135,9800,21174,POTTERING IN THE SHED METAL SIGN
2151,19775.58,1144,33719,22952,60 CAKE CASES VINTAGE CHRISTMAS
3197,19752.97,543,3145,48129,DOORMAT TOPIARY
1768,19740.539999999997,904,11771,22561,WOODEN SCHOOL COLOURING SET
4133,19693.32,589,5262,84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET
3236,19654.86,727,4976,71053,WHITE METAL LANTERN
1839,19521.13,858,9498,22633,HAND WARMER UNION JACK
1204,19479.510000000002,974,9839,21908,CHOCOLATE THIS WAY METAL SIGN
4063,19479.359999999997,693,12232,84949,SILVER HANGING T-LIGHT HOLDER
1643,19463.56,798,3238,22427,ENAMEL FLOWER JUG CREAM
724,19398.11,419,1772,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER
1282,19371.46,555,7861,22041,"RECORD FRAME 7"" SINGLE SIZE"
1302,19260.67,520,2185,22061,LARGE CAKE STAND  HANGING STRAWBERY
1762,19240.019999999997,967,11882,22555,PLASTERS IN TIN STRONGMAN
4061,19055.54,680,16065,84947,ANTIQUE SILVER TEA GLASS ENGRAVED
481,18951.77,929,6079,21035,SET/2 RED RETROSPOT TEA TOWELS
853,18949.600000000002,864,4764,21484,CHICK GREY HOT WATER BOTTLE
544,18930.58,873,15639,21121,SET/10 RED POLKADOT PARTY CANDLES
2047,18890.09,482,1191,22847,BREAD BIN DINER STYLE IVORY
2037,18742.170000000002,450,4008,22837,HOT WATER BOTTLE BABUSHKA
4059,18596.55,653,22637,84945,MULTI COLOUR SILVER T-LIGHT HOLDER
807,18514.2,814,4741,21430,SET/3 RED GINGHAM ROSE STORAGE BOX
1386,18358.85,1132,13129,22147,FELTCRAFT BUTTERFLY HEARTS
1716,18318.08,744,3818,22505,MEMO BOARD COTTAGE DESIGN
1767,18270.55,742,15192,22560,TRADITIONAL MODELLING CLAY
1209,18194.35,963,13308,21914,BLUE HARMONICA IN BOX
1859,18135.920000000002,597,2682,22654,DELUXE SEWING KIT
1979,18074.68,691,1762,22776,SWEETHEART CAKESTAND 3 TIER
1578,18067.42,1117,7172,22352,LUNCH BOX WITH CUTLERY RETROSPOT
3448,18048.72,349,3004,79323W,WHITE CHERRY LIGHTS
1524,17926.6,969,13871,22297,HEART IVORY TRELLIS SMALL
1764,17797.96,1126,10598,22557,PLASTERS IN TIN VINTAGE PAISLEY
254,17730.0,1213,13481,20718,RED RETROSPOT SHOPPER BAG
3177,17685.22,1140,9513,47591D,PINK FAIRY CAKE CHILDRENS APRON
559,17661.149999999998,739,10606,21136,PAINTED METAL PEARS ASSORTED
1185,17612.57,1123,13212,21889,WOODEN BOX OF DOMINOES
569,17487.36,930,9391,21156,RETROSPOT CHILDRENS APRON
3638,17477.66,83,816,84467,ENGLISH ROSE DESIGN QUILTED THROW
4128,17440.21,1460,35109,84992,72 SWEETHEART FAIRY CAKE CASES
1592,17423.17,568,2561,22366,DOORMAT AIRMAIL
4096,17359.489999999998,1080,17561,84970L,SINGLE HEART ZINC T-LIGHT HOLDER
1857,17237.23,830,10146,22652,TRAVEL SEWING KIT
2806,17027.23,355,3280,35004C,SET OF 3 COLOURED  FLYING DUCKS
2427,17000.170000000002,536,4177,23240,SET OF 4 KNICK KNACK TINS DOILY
889,16842.1,1111,6778,21535,RED RETROSPOT SMALL MILK JUG
887,16814.370000000003,954,3385,21533,RETRO SPOT LARGE MILK JUG
577,16812.300000000003,721,6040,21164,HOME SWEET HOME METAL SIGN
3318,16569.55,494,1714,72760B,VINTAGE CREAM 3 BASKET CAKE STAND
1699,16549.399999999998,898,1645,22487,WHITE WOOD GARDEN PLANT LADDER
2191,16478.48,1073,12649,22993,SET OF 4 PANTRY JELLY MOULDS
568,16475.41,969,6726,21155,RED RETROSPOT PEG BAG
3602,16463.22,796,7889,84375,SET OF 20 KIDS COOKIE CUTTERS
1428,16454.05,620,1995,22191,IVORY DINER WALL CLOCK
1866,16368.31,994,10037,22662,LUNCH BAG DOLLY GIRL DESIGN
2476,16327.349999999999,913,8807,23301,GARDENERS KNEELING PAD KEEP CALM
1430,16296.480000000001,617,1931,22193,RED DINER WALL CLOCK
1523,16260.509999999998,833,9855,22296,HEART IVORY TRELLIS LARGE
1840,16223.5,499,1717,22634,CHILDS BREAKFAST SET SPACEBOY
1825,16212.32,708,4154,22619,SET OF 6 SOLDIER SKITTLES
1962,16176.039999999999,795,9523,22759,SET OF 3 NOTEBOOKS IN PARCEL
1841,16093.99,485,1689,22635,CHILDS BREAKFAST SET DOLLY GIRL
1176,16083.97,755,14154,21877,HOME SWEET HOME MUG
1593,16060.91,1156,8153,22367,CHILDRENS APRON SPACEBOY DESIGN
1896,16024.84,606,2139,22692,DOORMAT WELCOME TO OUR HOME
2139,16009.289999999999,586,3653,22940,FELTCRAFT CHRISTMAS FAIRY
1894,15922.33,437,2540,22690,DOORMAT HOME SWEET HOME BLUE
1559,15865.82,697,10165,22333,RETROSPOT PARTY BAG + STICKER SET
1407,15800.66,575,2406,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT
2488,15798.66,401,2990,23313,VINTAGE CHRISTMAS BUNTING
1410,15768.95,997,5137,22173,METAL 4 HOOK HANGER FRENCH CHATEAU
2108,15760.83,1086,17684,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS
1952,15729.83,685,3855,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL
522,15723.119999999999,984,20160,21094,SET/6 RED SPOTTY PAPER PLATES
1187,15713.0,835,12249,21891,TRADITIONAL WOODEN SKIPPING ROPE
3603,15567.38,1248,11761,84378,SET OF 3 HEART COOKIE CUTTERS
1933,15534.04,746,3868,22730,ALARM CLOCK BAKELIKE IVORY
1150,15518.320000000002,494,5430,21844,RED RETROSPOT MUG
1591,15503.93,443,2355,22365,DOORMAT RESPECTABLE HOUSE
2145,15451.32,275,990,22946,WOODEN ADVENT CALENDAR CREAM
4461,15436.480000000001,539,3082,85232B,SET/3 RUSSIAN DOLL STACKING TINS
3496,15426.070000000002,796,7620,82582,AREA PATROLLED METAL SIGN
3540,15419.17,715,10514,84050,PINK HEART SHAPE EGG FRYING PAN
578,15351.35,966,9445,21165,BEWARE OF THE CAT METAL SIGN
1245,15330.25,1303,31481,21975,PACK OF 60 DINOSAUR CAKE CASES
545,15280.06,807,12601,21122,SET/10 PINK POLKADOT PARTY CANDLES
2949,15177.83,692,8400,35970,ZINC FOLKART SLEIGH BELLS
1416,14953.75,566,2093,22179,SET 10 LIGHTS NIGHT OWL
115,14948.75,456,71394,17003,BROCADE RING PURSE
1207,14934.74,828,3791,21912,VINTAGE SNAKES & LADDERS
1812,14913.84,374,1071,22606,WOODEN SKITTLES GARDEN SET
1089,14807.300000000001,651,2991,21770,OPEN CLOSED METAL SIGN
1389,14800.449999999999,938,7948,22150,3 STRIPEY MICE FELTCRAFT
1697,14779.84,419,1109,22485,SET OF 2 WOODEN MARKET CRATES
760,14643.480000000001,651,5047,21380,WOODEN HAPPY BIRTHDAY GARLAND
999,14479.91,815,11172,21672,WHITE SPOT RED CERAMIC DRAWER KNOB
654,14456.980000000001,655,2395,21259,VICTORIAN SEWING BOX SMALL
652,14434.18,532,1587,21257,VICTORIAN SEWING BOX MEDIUM
2005,14414.08,670,5377,22804,CANDLEHOLDER PINK HANGING HEART
581,14397.69,772,8924,21169,YOU'RE CONFUSING ME METAL SIGN
1833,14356.68,653,1634,22627,MINT KITCHEN SCALES
3604,14329.03,1114,10533,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS
274,14317.980000000001,183,1604,20748,KENSINGTON COFFEE SET
1660,14229.9,453,10416,22444,GROW YOUR OWN PLANT IN A CAN
1350,14197.68,642,3431,22109,FULL ENGLISH BREAKFAST PLATE
2387,14188.960000000001,595,7067,23200,JUMBO BAG PEARS
526,14174.210000000001,596,9007,21098,CHRISTMAS TOILET ROLL
1498,14156.300000000001,787,4945,22271,FELTCRAFT DOLL ROSIE
1184,14152.84,825,3581,21888,BINGO SET
1467,14109.669999999998,421,1140,22236,CAKE STAND 3 TIER MAGIC GARDEN
1522,14108.199999999999,706,8547,22295,HEART FILIGREE DOVE LARGE
1871,14014.1,848,4990,22667,RECIPE BOX RETROSPOT
2827,13999.1,419,1435,35400,WOODEN BOX ADVENT CALENDAR
2518,13972.710000000001,476,6078,23343,JUMBO BAG VINTAGE CHRISTMAS
996,13971.07,805,10669,21669,BLUE STRIPE CERAMIC DRAWER KNOB
995,13958.039999999999,825,10391,21668,RED STRIPE CERAMIC DRAWER KNOB
1170,13900.51,779,11654,21871,SAVE THE PLANET MUG
1827,13847.06,875,8764,22621,TRADITIONAL KNITTING NANCY
3446,13787.93,265,2281,79323P,PINK CHERRY LIGHTS
893,13769.44,709,2767,21539,RED RETROSPOT BUTTER DISH
1842,13761.73,489,1657,22636,CHILDS BREAKFAST SET CIRCUS PARADE
2046,13750.369999999999,346,855,22846,BREAD BIN DINER STYLE RED
1443,13715.91,480,3185,22207,FRYING PAN UNION FLAG
2269,13695.77,344,10395,23077,DOUGHNUT LIP GLOSS
3141,13691.02,449,5201,47556B,TEA TIME TEA TOWELS
4880,13676.0,267,273,C2,CARRIAGE
770,13590.47,588,10967,21390,FILIGRIS HEART WITH BUTTERFLY
1435,13580.83,646,7793,22198,LARGE POPCORN HOLDER
2038,13519.36,271,936,22838,3 TIER CAKE TIN RED AND CREAM
1000,13497.51,763,10221,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB
1791,13427.789999999999,589,5271,22584,PACK OF 6 PANNETONE GIFT BOXES
1760,13405.509999999998,1090,8009,22553,PLASTERS IN TIN SKULLS
1228,13353.81,921,7209,21935,SUKI  SHOULDER BAG
1030,13343.349999999999,568,17299,21704,BAG 250g SWIRLY MARBLES
2531,13334.320000000002,476,2359,23356,LOVE HOT WATER BOTTLE
2394,13325.55,740,7830,23207,LUNCH BAG ALPHABET DESIGN
2296,13290.519999999999,372,2219,23108,SET OF 10 LED DOLLY LIGHTS
219,13279.16,966,10620,20676,RED RETROSPOT BOWL
1787,13277.720000000001,495,2338,22580,ADVENT CALENDAR GINGHAM SACK
2503,13269.49,405,2841,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE
20,13210.85,250,4964,15044A,PINK PAPER PARASOL
3381,13156.31,344,13969,75049L,LARGE CIRCULAR MIRROR MOBILE
1852,13151.21,880,9253,22646,CERAMIC STRAWBERRY CAKE MONEY BANK
1202,13143.550000000001,424,1813,21906,PHARMACIE FIRST AID TIN
1860,13140.0,53,77,22655,VINTAGE RED KITCHEN CABINET
1677,13129.579999999998,784,7922,22464,HANGING METAL HEART LANTERN
2146,13111.85,209,1026,22947,WOODEN ADVENT CALENDAR RED
1329,13103.44,619,4407,22088,PAPER BUNTING COLOURED LACE
1969,13094.44,640,4436,22766,PHOTO FRAME CORNICE
4121,13059.199999999999,1019,8393,84988,SET OF 72 PINK HEART PAPER DOILIES
1383,12994.69,704,5368,22144,CHRISTMAS CRAFT LITTLE FRIENDS
2035,12879.75,597,7641,22834,HAND WARMER BABUSHKA DESIGN
2142,12783.82,356,2601,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES
1822,12747.23,825,40106,22616,PACK OF 12 LONDON TISSUES
1529,12701.63,540,5439,22303,COFFEE MUG APPLES DESIGN
1829,12665.58,541,2353,22623,BOX OF VINTAGE JIGSAW BLOCKS
1323,12504.77,957,7427,22082,RIBBON REEL STRIPES DESIGN
26,12479.470000000001,344,2526,15056P,EDWARDIAN PARASOL PINK
3221,12456.7,127,9570,62018,SOMBRERO
