StockCode,Description,Orders,Units,Revenue,AvgPrice
17013B,ORIGAMI JASMINE INCENSE IN TUBE,3,256,221.03,1.7066666666666668
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,2,213,89.46000000000001,0.42
17013D,ORIGAMI ROSE INCENSE IN TUBE,31,1069,575.76,1.76
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,5,62,26.7,1.38
17014A,ORIGAMI VANILLA INCENSE CONES,16,277,173.48999999999998,1.7599999999999998
17014C,ORIGAMI LAVENDER INCENSE CONES,2,97,43.75,1.925
17014D,ORIGAMI ROSE INCENSE CONES,8,479,204.36,1.7966666666666664
17014E,ORIGAMI OPIUM INCENSE CONES,6,95,36.599999999999994,1.4249999999999998
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,4,61,23.699999999999996,1.3125
17021,NAMASTE SWAGAT INCENSE,76,4322,1128.84,0.2943529411764706
17027A,INCENSE BAZAAR CANNABIS,2,228,84.84,0.355
17028J,INCENSE BAZAAR PEACH,1,6,2.52,0.42
17033,"BROCADE PURSE,SMALL ARCH BUTTON",69,3280,867.8399999999999,0.28536231884057967
17038,PORCELAIN BUDAH INCENSE HOLDER,55,2659,261.51,0.4226785714285714
17039,INLAID WOOD INCENSE HOLDER,43,3707,837.88,0.3774418604651163
17061,ASSORTED SHAPED STENCIL FOR HENNA,1,52,2.08,0.04
17084A,TRANQUILITY MASALA INCENSE,18,442,92.82,0.21
17084G,MOON INCENSE,2,50,10.5,0.21
17084J,LOVE POTION MASALA INCENSE,20,481,101.01,0.21000000000000002
17084N,FAIRY DREAMS INCENSE,187,2798,647.66,0.34659685863874345
17084P,DRAGONS BLOOD INCENSE,70,1016,228.43,0.3436111111111111
17084R,ASSORTED INCENSE PACK,66,12065,2198.85,0.20253731343283582
17090A,LAVENDER INCENSE 40 CONES IN TIN,26,215,220.75,1.1928571428571428
17090D,VANILLA INCENSE 40 CONES IN TIN,28,95,113.95,1.2375
17091A,LAVENDER INCENSE IN TIN,117,2092,1294.6399999999999,1.0327731092436974
17091B,JASMINE TEA INCENSE IN TIN,51,276,316.98,1.4219230769230768
17091F,SANDALWOOD INCENSE IN TIN,8,19,27.71,1.58
17091J,VANILLA INCENSE IN TIN,178,4086,2297.99,0.9074074074074074
17096,ASSORTED LAQUERED INCENSE HOLDERS,76,6241,1117.52,0.32376623376623376
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",86,330,841.5,2.55
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,23,355,149.1,0.42
17109A,FLOWER FAIRY INCENSE LILY,13,709,333.61,1.1861538461538461
17109B,FLOWER FAIRY INCENSE LAVENDER,17,4542,896.3399999999999,1.316470588235294
17109C,FLOWER FAIRY INCENSE ROSE,15,3124,661.23,1.238
17109D,FLOWER FAIRY INCENSE BOUQUET,38,1259,601.69,1.41325
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,11,86,57.98,0.8309090909090909
17129D,CLEAR COLOUR GLASS GEMS IN BAG,39,1125,1351.1799999999998,1.2087179487179487
17129F,BLUE GLASS GEMS IN BAG,145,1584,1691.2199999999998,1.4073154362416107
17136A,BLUE STONES ON WIRE FOR CANDLE,34,743,61.78,0.10676470588235294
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,81,1622,647.4,0.4168674698795181
17164D,ASS COL SMALL SAND FROG P'WEIGHT,28,1150,447.0,0.41516129032258065
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,57,810,751.6800000000001,1.0298360655737704
17165D,ASS COL LARGE SAND FROG P'WEIGHT,89,716,682.32,1.0346236559139785
17174,ASSTD RASTA KEY-CHAINS,7,36,15.120000000000001,0.42
17178,FLAT PALM T-LIGHT HOLDER,24,133,156.65,1.234
17181,CIRCLE OF FRIENDS CANDLE HOLDER,65,353,642.66,3.771641791044776
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,12,33,123.75,3.75
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,72,11423,1048.58,0.24615384615384614
18010,ASSORTED FRAGRANCE BATH CONFETTI,9,64,30.16,0.5566666666666666
18094C,WHITE AND BLUE CERAMIC OIL BURNER,98,446,616.91,1.8743
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,20,117,298.7,3.4455
18096c,WHITE ROUND PORCELAIN TLIGHT HOLDER,6,8,41.14,5.151666666666666
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,12,18,45.9,2.55
18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,3,7,17.849999999999998,2.55
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,211,1811,4049.83,2.8295433789954334
18098A,PINK PORCELAIN B'FLY OIL BURNER,2,2,5.9,2.95
18098B,BLUE PORCELAIN B'FLY OIL BURNER,3,3,8.850000000000001,2.9500000000000006
18098C,PORCELAIN BUTTERFLY OIL BURNER,236,1252,3340.36,3.3138339920948616
18098c,PORCELAIN BUTTERFLY OIL BURNER,135,332,1682.01,5.066971830985915
20615,BLUE POLKADOT PASSPORT COVER,195,647,1111.47,2.646078431372549
20616,CHERRY BLOSSOM PASSPORT COVER,121,287,461.88,2.13258064516129
20617,FIRST CLASS PASSPORT COVER,105,499,997.2,2.415188679245283
20618,QUEEN OF THE SKIES PASSPORT COVER,137,298,650.64,2.277608695652174
20619,TROPICAL PASSPORT COVER,194,579,1018.63,2.351076923076923
20620,RED SPOTTY PASSPORT COVER,14,15,61.76,4.104285714285714
20621,ECONOMY PASSPORT COVER,33,207,451.67,2.3584848484848484
20622,VIPPASSPORT COVER,128,586,1144.43,2.6821969696969696
20652,BLUE POLKADOT LUGGAGE TAG,172,1520,1034.81,1.416
20653,CHERRY BLOSSOM LUGGAGE TAG,81,2006,533.79,1.4079518072289157
20654,FIRST CLASS LUGGAGE TAG,120,398,505.41,1.3760330578512396
20655,QUEEN OF SKIES LUGGAGE TAG,189,420,618.5,1.7025888324873095
20657,TROPICAL LUGGAGE TAG,118,1878,727.72,1.322436974789916
20658,RED SPOTTY LUGGAGE TAG,353,1613,2296.43,1.6879891304347825
20659,ECONOMY LUGGAGE TAG,138,370,534.76,1.571631205673759
20660,VIP LUGGAGE TAG,26,71,88.75,1.25
20661,BLUE SPOTTY PURSE,123,899,983.0100000000001,3.0056
20662,FIRST CLASS HOLIDAY PURSE,49,730,476.35,2.7103921568627447
20663,QUEEN OF THE SKIES HOLIDAY PURSE,44,1076,374.43,2.574782608695652
20664,TROPICAL HOLIDAY PURSE,31,57,155.41,2.712903225806452
20665,RED RETROSPOT PURSE,348,1366,4371.47,3.840690607734807
20666,ECONOMY HOLIDAY PURSE,46,911,412.45000000000005,2.408478260869565
20667,CHERRY BLOSSOM PURSE,24,40,108.69,2.6437500000000003
20668,DISCO BALL CHRISTMAS DECORATION,367,21748,2550.65,0.16748717948717948
20669,RED HEART LUGGAGE TAG,214,818,1145.7,1.607136563876652
20670,VIP HOLIDAY PURSE,48,694,378.85,2.8625000000000003
20671,BLUE TEATIME PRINT BOWL,143,796,1051.22,1.5722758620689654
20672,PINK TEATIME PRINT BOWL,36,138,201.0,1.75
20673,STRAWBERRIES PRINT BOWL,2,5,6.25,1.25
20674,GREEN POLKADOT BOWL,463,3437,4383.55,1.5082838983050846
20675,BLUE POLKADOT BOWL,693,6564,8179.16,1.506
20676,RED RETROSPOT BOWL,966,10620,13279.16,1.5519574036511157
20677,PINK POLKADOT BOWL,760,7888,9936.140000000001,1.585648267008986
20678,LARGE BLACK DIAMANTE HAIRSLIDE,1,4,6.6,1.65
20679,EDWARDIAN PARASOL RED,715,6256,30649.47,6.670190217391305
20680,PINK FLOWERS CHILDS UMBRELLA,4,6,19.5,3.25
20681,PINK SPOTTY CHILDS UMBRELLA,341,1429,4859.79,3.8826912181303115
20682,RED RETROSPOT CHILDRENS UMBRELLA,589,3123,10388.78,3.8898517298187807
20683,RAIN GIRL CHILDS UMBRELLA,1,1,3.25,3.25
20684,STRAWBERRY DREAM CHILDS UMBRELLA,176,584,1933.62,3.6337569060773482
20685,DOORMAT RED RETROSPOT,1725,9968,67812.32,8.40843626062323
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,186,602,2059.44,3.7571204188481677
20688,BEAUTY SPEED EXPRESSO CUPS,11,464,332.9,6.004545454545454
20689,RETRO SISTERS EXPRESSO CUPS,41,429,614.1,6.176585365853659
20692,FLORAL ELEPHANT SOFT TOY,139,908,3682.76,4.892127659574468
20693,FLORAL DINOSAUR GREEN,18,33,161.89000000000001,5.207777777777778
20694,FLORAL PINK MONSTER,54,166,622.33,4.398363636363636
20695,FLORAL BLUE MONSTER,61,143,608.83,4.8466129032258065
20696,FLORAL SOFT CAR TOY,60,153,633.18,4.7222580645161285
20697,LITTLE GREEN MONSTER SOFT TOY,21,42,101.7,2.510869565217391
20698,LITTLE PINK MONSTER SOFT TOY,21,47,114.44999999999999,2.509090909090909
20699,MOUSEY LONG LEGS SOFT TOY,88,300,825.81,3.1417021276595745
20700,GREEN CAT FLORAL CUSHION COVER,103,421,1135.22,5.469038461538461
20701,PINK CAT FLORAL CUSHION COVER,50,353,721.49,4.416
20702,PINK PADDED MOBILE,245,795,3351.95,4.3028
20703,BLUE PADDED SOFT MOBILE,169,471,1993.47,4.2601775147928995
20704,MR ROBOT SOFT TOY,80,361,1371.42,6.370875
20705,MRS ROBOT SOFT TOY,53,273,996.19,5.42622641509434
20707,CRAZY DAISY HEART DECORATION,199,1615,1247.44,1.2305445544554454
20711,JUMBO BAG TOYS,1052,12836,26183.0,2.7283364661654135
20712,JUMBO BAG WOODLAND ANIMALS,1415,17936,37988.94,2.739508990318119
20713,JUMBO BAG OWLS,1314,21170,41332.89,2.581584011843079
20714,POSY SHOPPER BAG,28,1580,649.8199999999999,0.9467857142857142
20715,LITTLE FLOWER SHOPPER BAG,1,400,424.0,1.06
20716,PARTY FOOD SHOPPER BAG,246,1538,1933.81,1.4512252964426877
20717,STRAWBERRY SHOPPER BAG,757,6337,7834.73,1.5998712998712998
20718,RED RETROSPOT SHOPPER BAG,1213,13481,17730.0,1.657225386493084
20719,WOODLAND CHARLOTTE BAG,1573,24901,28249.92,1.154772585669782
20721,OWLS CHARLOTTE BAG,1,1,0.85,0.85
20723,STRAWBERRY CHARLOTTE BAG,1379,18441,20640.22,1.1400923295454546
20724,RED RETROSPOT CHARLOTTE BAG,2035,32443,35558.229999999996,1.1051633045148894
20725,LUNCH BAG RED RETROSPOT,3056,40752,72001.35,2.0664426751592355
20726,LUNCH BAG WOODLAND,1926,22301,38883.729999999996,2.115804336863338
20727,LUNCH BAG  BLACK SKULL.,2351,27042,46283.89,2.0262254098360657
20728,LUNCH BAG CARS BLUE,2067,24838,42695.64,1.9762747875354107
20729,RED SPOTTY CANDY BAG,121,5262,1778.12,1.4020661157024794
20730,STRAWBERRY CANDY BAG,102,2218,1011.7,1.0862745098039215
20731,POSY CANDY BAG,73,4143,1254.17,1.4004054054054054
20733,GOLD MINI TAPE MEASURE,294,1957,1477.7,0.8516993464052288
20734,SILVER MINI TAPE MEASURE,117,1598,1485.6799999999998,1.3359999999999999
20735,BLACK MINI TAPE MEASURE,202,1545,1589.03,1.2007943925233644
20736,PINK MINI TAPE MEASURE,19,290,233.5,0.8431578947368421
20737,RED MINI TAPE MEASURE,1,1,1.7,1.7
20738,GREEN MINI TAPE MEASURE,74,1610,1301.72,0.9545945945945946
20739,*USB Office Glitter Lamp,1,1,8.65,8.65
20747,PICCADILLY TEA SET,108,683,9224.92,15.723703703703702
20748,KENSINGTON COFFEE SET,183,1604,14317.980000000001,12.391069518716579
20749,ASSORTED COLOUR MINI CASES,766,3143,22703.16,8.08327868852459
20750,RED RETROSPOT MINI CASES,909,3772,27523.12,8.133970117395945
20751,FUNKY WASHING UP GLOVES ASSORTED,471,2875,6103.080000000001,2.322337917485265
20752,BLUE POLKADOT WASHING UP GLOVES,358,1526,2939.6800000000003,2.3972702702702704
20753,RETRO PINK SPOT WASHING UP GLOVES,56,218,509.00000000000006,2.6607142857142856
20754,RETROSPOT RED WASHING UP GLOVES,852,5157,10604.550000000001,2.4975936435868333
20755,BLUE PAISLEY POCKET BOOK,122,5161,1104.95,0.9185826771653544
20756,GREEN FERN POCKET BOOK,64,5728,851.5600000000001,0.8060937499999999
20757,RED DAISY POCKET BOOK,78,5360,901.75,0.8443373493975903
20758,ABSTRACT CIRCLES POCKET BOOK,95,5438,964.4699999999999,0.8195959595959597
20759,CHRYSANTHEMUM POCKET BOOK,63,5782,895.38,0.7749230769230769
20760,GARDEN PATH POCKET BOOK,81,5554,1317.06,0.7940476190476191
20761,BLUE PAISLEY SKETCHBOOK,146,466,1460.2,4.051381578947368
20762,GREEN FERN SKETCHBOOK,136,466,1381.53,3.886971830985916
20763,DAISY SKETCHBOOK,74,269,714.23,3.855394736842105
20764,ABSTRACT CIRCLES SKETCHBOOK,193,690,2153.51,4.168090452261307
20765,CHRYSANTHEMUM SKETCHBOOK,146,448,1287.56,3.8988815789473685
20766,GARDEN PATH SKETCHBOOK,155,523,1571.09,3.9695679012345684
20767,BLUE PAISLEY JOURNAL,179,814,1746.71,2.6790055248618785
20768,GREEN FERN JOURNAL,149,770,1541.84,2.556953642384106
20769,DAISY JOURNAL,79,442,819.01,2.5613414634146343
20770,ABSTRACT CIRCLE JOURNAL,201,1055,2215.81,2.4755502392344497
20771,CHRYSANTHEMUM  JOURNAL,140,609,1209.33,2.5676760563380276
20772,GARDEN PATH JOURNAL,161,974,1863.9499999999998,2.542289156626506
20773,BLUE PAISLEY NOTEBOOK,117,3356,992.03,1.7378571428571428
20774,GREEN FERN NOTEBOOK,119,3492,975.68,1.7354399999999999
20775,DAISY NOTEBOOK,112,3606,931.55,1.7531304347826087
20776,ABSTRACT CIRCLES NOTEBOOK,84,3258,832.66,1.7828235294117647
20777,CHRYSANTHEMUM NOTEBOOK,169,3669,1280.97,1.7968571428571427
20778,GARDEN PATH NOTEBOOK,90,3615,950.9599999999999,1.8046236559139783
20780,BLACK EAR MUFF HEADPHONES,98,247,1417.25,6.886571428571429
20781,GOLD EAR MUFF HEADPHONES,61,106,596.4,6.3500000000000005
20782,CAMOUFLAGE EAR MUFF HEADPHONES,87,169,1094.46,6.881555555555556
20783,HEART EAR MUFF HEADPHONES,55,165,1051.4,7.64509090909091
20784,RED RETRO BAR STOOL,37,101,3570.87,36.42621621621622
20785,FUSCHIA RETRO BAR STOOL,36,102,3672.35,37.55945945945946
20786,BLACK RETRO BAR STOOL,31,99,3533.9,36.876875
20787,BLUE RETRO BAR STOOL,30,69,2535.1,38.021875
20791,BLUE TILED SET OF 3 DRAWERS,1,5,63.75,12.75
20793,BLUE TILED TRAY,22,281,518.5,8.935
20794,BLUE  TILE HOOK,48,213,596.0799999999999,3.4747999999999997
20795,LARGE BLUE PROVENCAL CERAMIC BALL,29,135,308.7,2.956896551724138
20796,SMALL BLUE PROVENCAL CERAMIC BALL,22,99,182.15999999999997,2.3495454545454546
20798,CLEAR MILKSHAKE GLASS,83,565,1337.55,3.0829885057471267
20799,PINK MILKSHAKE GLASS,26,200,355.33,3.1257692307692304
20800,LARGE GLASS SUNDAE DISH CLEAR,5,1005,303.96,3.618
20801,LARGE PINK GLASS SUNDAE DISH,111,1094,1432.12,2.2322413793103446
20802,SMALL GLASS SUNDAE DISH CLEAR,116,1067,1630.05,2.106974789915966
20803,SMALL PINK GLASS SUNDAE DISH,84,1154,891.26,1.734767441860465
20804,GLASS CHICKEN BUTTER DISH,61,325,579.31,2.6788524590163934
20812,EMBOSSED FLOWER TRELLIS PHOTO FRAME,3,5,12.75,2.55
20814,SILVER FINCH DECORATION,13,189,208.89000000000001,1.2061538461538461
20816,GOLD FLOWER CUSHION COVER,7,24,123.6,5.378571428571428
20818,GOLD TEDDY BEAR,30,87,268.5,4.491666666666666
20819,SILVER TEDDY BEAR,65,229,635.24,3.885909090909091
20820,SILVER LOOKING MIRROR,8,14,69.30000000000001,4.95
20821,GOLDIE LOOKING MIRROR,25,42,286.42,7.882000000000001
20822,SILVER WINE GOBLET,1,2,9.3,4.65
20823,GOLD WINE GOBLET,19,253,533.71,3.6510526315789478
20825,GOLD WINE GLASS,7,361,1255.08,6.831428571428572
20826,SILVER APERITIF GLASS,14,355,290.72,1.3478571428571429
20827,GOLD APERITIF GLASS,8,173,209.36,1.63375
20828,GLITTER BUTTERFLY CLIPS,607,4468,11062.76,2.9404088050314465
20829,GLITTER HANGING BUTTERFLY STRING,481,4842,9875.44,2.42462
20830,SILVER PHOTO FRAME,82,407,964.61,2.990722891566265
20831,GOLD PHOTO FRAME,79,474,927.96,2.722625
20832,RED FLOCK LOVE HEART PHOTO FRAME,158,1690,1134.35,0.9455214723926381
20833,SHAKER THROW  QUILTED,5,52,811.8,27.630000000000003
20835,FRENCH LATTICE CUSHION COVER,10,81,98.03999999999999,3.610909090909091
20836,FRENCH PAISLEY CUSHION COVER,22,224,250.0,1.1209090909090909
20837,FRENCH FLORAL CUSHION COVER,18,165,188.07,1.1844444444444444
20838,FRENCH LATTICE CUSHION COVER,63,446,565.8,1.9461904761904762
20839,FRENCH PAISLEY CUSHION COVER,118,642,1063.77,2.6193388429752065
20840,FRENCH FLORAL CUSHION COVER,93,886,1428.4099999999999,2.222526315789474
20845,ZINC HEART LATTICE 2 WALL PLANTER,24,76,502.27,7.169583333333333
20846,ZINC HEART LATTICE T-LIGHT HOLDER,169,1470,1999.48,1.5754802259887006
20847,ZINC HEART LATTICE CHARGER LARGE,27,81,341.97,4.8500000000000005
20848,ZINC HEART LATTICE CHARGER SMALL,12,39,115.05000000000001,2.9500000000000006
