Invoice,InvoiceDate,CustomerID,Country,Lines,Units,Revenue,IsGuest
489607,2009-12-01 14:49:00,,United Kingdom,38,51,370.68,1
489608,2009-12-01 14:49:00,,United Kingdom,1,5,9.75,1
489609,2009-12-01 14:50:00,,United Kingdom,35,49,475.17,1
489611,2009-12-01 14:53:00,15601.0,United Kingdom,1,1,2.95,0
489612,2009-12-01 14:55:00,,United Kingdom,40,62,542.39,1
489613,2009-12-01 14:56:00,13585.0,United Kingdom,1,1,12.75,0
489614,2009-12-01 14:56:00,,United Kingdom,25,41,328.55,1
489615,2009-12-01 14:56:00,,United Kingdom,21,46,422.23,1
489616,2009-12-01 14:58:00,,United Kingdom,22,49,325.53,1
489617,2009-12-01 14:59:00,13442.0,United Kingdom,16,42,198.0,0
489618,2009-12-01 14:59:00,,United Kingdom,1,1,6.35,1
489619,2009-12-01 15:02:00,,United Kingdom,5,10,19.5,1
489634,2009-12-01 15:19:00,13381.0,United Kingdom,1,12,17.4,0
489635,2009-12-01 15:26:00,16763.0,United Kingdom,21,173,352.85,0
489637,2009-12-01 15:36:00,17243.0,United Kingdom,20,157,535.9,0
489638,2009-12-01 15:42:00,,United Kingdom,1,2,7.5,1
489639,2009-12-01 16:05:00,14865.0,United Kingdom,1,48,31.200000000000003,0
489640,2009-12-01 16:17:00,17345.0,United Kingdom,27,600,329.90999999999997,0
489641,2009-12-01 16:18:00,13819.0,United Kingdom,30,462,622.1,0
489642,2009-12-01 16:19:00,,United Kingdom,3,3,12.850000000000001,1
489644,2009-12-01 16:30:00,15808.0,United Kingdom,25,297,857.5400000000001,0
489645,2009-12-01 16:34:00,17191.0,United Kingdom,32,97,261.74,0
489650,2009-12-01 16:44:00,13748.0,United Kingdom,7,90,173.1,0
489652,2009-12-01 17:08:00,15265.0,United Kingdom,17,146,294.14,0
489653,2009-12-01 17:08:00,,United Kingdom,13,26,60.78,1
489654,2009-12-01 17:19:00,15750.0,United Kingdom,30,115,222.12,0
489656,2009-12-01 17:28:00,17428.0,United Kingdom,22,401,1237.3,0
489657,2009-12-01 17:28:00,17428.0,United Kingdom,3,32,55.2,0
489658,2009-12-01 17:31:00,15485.0,United Kingdom,21,249,828.09,0
489661,2009-12-01 17:45:00,17246.0,United Kingdom,4,34,23.48,0
489662,2009-12-01 17:50:00,15485.0,United Kingdom,1,25,73.75,0
489664,2009-12-01 18:03:00,14061.0,United Kingdom,11,57,374.43,0
489665,2009-12-01 18:07:00,14108.0,United Kingdom,10,118,252.3,0
489666,2009-12-01 18:13:00,13648.0,United Kingdom,15,203,263.09000000000003,0
489667,2009-12-01 18:35:00,16563.0,United Kingdom,10,221,538.46,0
489668,2009-12-01 19:19:00,16701.0,United Kingdom,8,198,378.12,0
489669,2009-12-02 08:15:00,12842.0,United Kingdom,3,168,397.20000000000005,0
489670,2009-12-02 08:16:00,14302.0,United Kingdom,2,28,114.60000000000001,0
489671,2009-12-02 08:58:00,14135.0,United Kingdom,8,966,740.3,0
489672,2009-12-02 09:21:00,14831.0,United Kingdom,32,421,772.65,0
489673,2009-12-02 09:23:00,14831.0,United Kingdom,4,34,61.099999999999994,0
489674,2009-12-02 09:35:00,15602.0,United Kingdom,17,266,261.3,0
489675,2009-12-02 09:47:00,13777.0,United Kingdom,22,1930,4939.22,0
489676,2009-12-02 09:49:00,13777.0,United Kingdom,5,840,1210.8,0
489677,2009-12-02 09:50:00,14000.0,United Kingdom,2,48,192.0,0
489678,2009-12-02 09:57:00,16823.0,United Kingdom,20,113,189.29999999999998,0
489679,2009-12-02 10:00:00,16163.0,United Kingdom,42,280,795.98,0
489680,2009-12-02 10:02:00,17193.0,United Kingdom,1,36,45.0,0
489681,2009-12-02 10:02:00,17998.0,United Kingdom,11,183,89.59,0
489682,2009-12-02 10:08:00,15759.0,United Kingdom,4,303,125.73,0
489683,2009-12-02 10:09:00,16131.0,United Kingdom,46,721,1317.97,0
489684,2009-12-02 10:15:00,14560.0,United Kingdom,9,116,266.6,0
489687,2009-12-02 10:41:00,17087.0,United Kingdom,12,113,221.53,0
489688,2009-12-02 10:42:00,14894.0,United Kingdom,3,54,299.70000000000005,0
489695,2009-12-02 10:48:00,16202.0,United Kingdom,15,121,306.95,0
489699,2009-12-02 10:51:00,16700.0,United Kingdom,25,238,401.7,0
489702,2009-12-02 10:52:00,17511.0,United Kingdom,30,2020,3108.64,0
489705,2009-12-02 10:52:00,16700.0,United Kingdom,1,4,17.0,0
489723,2009-12-02 10:58:00,14299.0,United Kingdom,26,1339,2052.12,0
489725,2009-12-02 11:07:00,17949.0,United Kingdom,1,300,216.0,0
489726,2009-12-02 11:07:00,17949.0,United Kingdom,1,200,750.0,0
489727,2009-12-02 11:09:00,17949.0,United Kingdom,1,450,900.0,0
489728,2009-12-02 11:18:00,14799.0,United Kingdom,10,349,180.45,0
489733,2009-12-02 11:20:00,15311.0,United Kingdom,2,48,168.0,0
489743,2009-12-02 11:24:00,16550.0,United Kingdom,33,320,538.77,0
489748,2009-12-02 11:26:00,12980.0,United Kingdom,3,84,754.2,0
489764,2009-12-02 11:31:00,14425.0,United Kingdom,14,82,223.1,0
489765,2009-12-02 11:33:00,15353.0,United Kingdom,38,88,271.74,0
489766,2009-12-02 11:34:00,17818.0,United Kingdom,42,86,124.78,0
489780,2009-12-02 11:43:00,13654.0,United Kingdom,8,90,159.98000000000002,0
489782,2009-12-02 11:45:00,17189.0,United Kingdom,21,147,228.36,0
489783,2009-12-02 11:47:00,13269.0,United Kingdom,7,152,162.04,0
489784,2009-12-02 11:48:00,13269.0,United Kingdom,4,48,40.8,0
489785,2009-12-02 11:51:00,14653.0,United Kingdom,19,248,333.09000000000003,0
489786,2009-12-02 11:52:00,17019.0,United Kingdom,42,197,212.66,0
489787,2009-12-02 11:53:00,15542.0,United Kingdom,65,116,293.19,0
489788,2009-12-02 11:55:00,13564.0,United Kingdom,17,38,119.16,0
489789,2009-12-02 11:59:00,15833.0,United Kingdom,5,24,80.4,0
489790,2009-12-02 11:59:00,16467.0,United Kingdom,2,88,131.12,0
489791,2009-12-02 12:06:00,15542.0,United Kingdom,62,87,216.59,0
489792,2009-12-02 12:06:00,14527.0,United Kingdom,58,165,923.79,0
489793,2009-12-02 12:09:00,17476.0,United Kingdom,16,124,260.36,0
489794,2009-12-02 12:13:00,15287.0,United Kingdom,4,55,58.2,0
489795,2009-12-02 12:13:00,14440.0,United Kingdom,13,287,935.01,0
489796,2009-12-02 12:15:00,15680.0,United Kingdom,19,268,311.5,0
489797,2009-12-02 12:19:00,15581.0,United Kingdom,25,141,196.88,0
489798,2009-12-02 12:22:00,13740.0,United Kingdom,19,93,296.69,0
489800,2009-12-02 12:26:00,17768.0,United Kingdom,31,502,382.57,0
489801,2009-12-02 12:28:00,12948.0,United Kingdom,6,144,128.48000000000002,0
489802,2009-12-02 12:32:00,15581.0,United Kingdom,45,156,174.52,0
489804,2009-12-02 12:38:00,14667.0,United Kingdom,16,185,251.17000000000002,0
489805,2009-12-02 12:39:00,17377.0,United Kingdom,46,227,454.35,0
489807,2009-12-02 12:43:00,15581.0,United Kingdom,28,241,180.13,0
489808,2009-12-02 12:44:00,14467.0,United Kingdom,17,82,109.84,0
489809,2009-12-02 12:46:00,13457.0,United Kingdom,6,68,112.5,0
489810,2009-12-02 12:47:00,18108.0,United Kingdom,26,165,493.25,0
489811,2009-12-02 12:54:00,16210.0,United Kingdom,9,515,634.29,0
489812,2009-12-02 13:00:00,17377.0,United Kingdom,25,85,597.6899999999999,0
489814,2009-12-02 13:06:00,14669.0,United Kingdom,86,503,811.53,0
489815,2009-12-02 13:10:00,17909.0,United Kingdom,8,35,110.05,0
489816,2009-12-02 13:20:00,16086.0,United Kingdom,27,258,284.55,0
489817,2009-12-02 13:22:00,16711.0,United Kingdom,3,132,340.2,0
489818,2009-12-02 13:23:00,16233.0,United Kingdom,14,102,294.3,0
489819,2009-12-02 13:23:00,14739.0,United Kingdom,13,465,618.4300000000001,0
489822,2009-12-02 13:26:00,14204.0,United Kingdom,54,103,371.27000000000004,0
489823,2009-12-02 13:32:00,17606.0,United Kingdom,6,42,87.30000000000001,0
489824,2009-12-02 13:33:00,16797.0,United Kingdom,44,127,176.88,0
489825,2009-12-02 13:34:00,16126.0,United Kingdom,10,94,174.1,0
489826,2009-12-02 13:39:00,17867.0,United Kingdom,10,17,85.95,0
489827,2009-12-02 13:51:00,17412.0,United Kingdom,23,382,445.7,0
489829,2009-12-02 13:53:00,16525.0,United Kingdom,8,237,472.47,0
489830,2009-12-02 13:57:00,13623.0,United Kingdom,67,240,628.14,0
489831,2009-12-02 13:58:00,12435.0,Denmark,1,480,1008.0,0
489832,2009-12-02 14:06:00,14549.0,United Kingdom,54,121,313.27,0
489833,2009-12-02 14:09:00,14980.0,United Kingdom,24,79,150.68,0
489834,2009-12-02 14:09:00,14106.0,United Kingdom,1,24,214.79999999999998,0
489835,2009-12-02 14:15:00,15061.0,United Kingdom,2,280,714.0,0
489837,2009-12-02 14:21:00,14396.0,United Kingdom,46,268,507.47,0
489840,2009-12-02 14:22:00,14122.0,United Kingdom,1,6,89.69999999999999,0
489855,2009-12-02 14:34:00,16987.0,United Kingdom,29,56,157.91,0
489856,2009-12-02 14:36:00,,United Kingdom,425,816,3993.5,1
489857,2009-12-02 14:43:00,,United Kingdom,515,1225,4966.72,1
489861,2009-12-02 14:50:00,,United Kingdom,6,33,46.07,1
489862,2009-12-02 14:52:00,17809.0,United Kingdom,4,150,734.7,0
489863,2009-12-02 14:55:00,15917.0,United Kingdom,18,21,66.82,0
489864,2009-12-02 14:56:00,14987.0,United Kingdom,3,79,206.85,0
489865,2009-12-02 15:01:00,14080.0,United Kingdom,18,53,234.87,0
489866,2009-12-02 15:04:00,16200.0,United Kingdom,115,577,987.73,0
489867,2009-12-02 15:08:00,,United Kingdom,12,45,118.95,1
489868,2009-12-02 15:10:00,15794.0,United Kingdom,14,248,675.0,0
489869,2009-12-02 15:15:00,16200.0,United Kingdom,17,27,39.980000000000004,0
489870,2009-12-02 15:16:00,15523.0,United Kingdom,3,118,162.1,0
489871,2009-12-02 15:17:00,15523.0,United Kingdom,5,274,735.7,0
489872,2009-12-02 15:28:00,15615.0,United Kingdom,22,320,632.9,0
489873,2009-12-02 15:29:00,15615.0,United Kingdom,1,12,10.2,0
489874,2009-12-02 15:38:00,18001.0,United Kingdom,12,144,176.6,0
489875,2009-12-02 15:41:00,17841.0,United Kingdom,93,217,525.71,0
489876,2009-12-02 15:44:00,15917.0,United Kingdom,18,22,39.85,0
489877,2009-12-02 15:44:00,13089.0,United Kingdom,4,162,368.1,0
489878,2009-12-02 15:51:00,15989.0,United Kingdom,37,55,140.16,0
489879,2009-12-02 16:02:00,17660.0,United Kingdom,44,138,163.47,0
489880,2009-12-02 16:18:00,13313.0,United Kingdom,22,552,380.28000000000003,0
489883,2009-12-02 16:24:00,12437.0,France,26,260,524.28,0
489884,2009-12-02 16:24:00,13313.0,United Kingdom,1,19,3.61,0
489888,2009-12-02 16:49:00,14841.0,United Kingdom,26,660,597.4,0
489889,2009-12-02 16:52:00,14646.0,Netherlands,20,3200,4734.24,0
489890,2009-12-02 16:53:00,14646.0,Netherlands,3,592,976.8,0
489891,2009-12-02 16:59:00,15482.0,United Kingdom,6,144,181.08,0
489892,2009-12-02 17:02:00,,United Kingdom,2,4,39.8,1
489893,2009-12-02 17:06:00,16156.0,United Kingdom,9,98,300.1,0
489894,2009-12-02 17:18:00,17716.0,United Kingdom,27,396,520.2,0
489895,2009-12-03 07:25:00,12779.0,Poland,22,266,371.82,0
489896,2009-12-03 07:57:00,13611.0,United Kingdom,20,227,337.93,0
489897,2009-12-03 09:10:00,15255.0,United Kingdom,13,176,260.44,0
489900,2009-12-03 09:44:00,14771.0,United Kingdom,19,253,287.37,0
489902,2009-12-03 09:52:00,14838.0,United Kingdom,4,18,119.10000000000001,0
489904,2009-12-03 10:02:00,13979.0,United Kingdom,13,150,203.78,0
489905,2009-12-03 10:03:00,13800.0,United Kingdom,19,242,478.7,0
489906,2009-12-03 10:16:00,14483.0,United Kingdom,4,96,120.0,0
489907,2009-12-03 10:17:00,14915.0,United Kingdom,11,104,202.06,0
489908,2009-12-03 10:20:00,16301.0,United Kingdom,6,41,107.33,0
489909,2009-12-03 10:20:00,13753.0,United Kingdom,16,428,642.2,0
489910,2009-12-03 10:23:00,15482.0,United Kingdom,1,288,144.0,0
489912,2009-12-03 10:26:00,13931.0,United Kingdom,58,578,1146.1000000000001,0
489913,2009-12-03 10:28:00,13931.0,United Kingdom,3,16,69.6,0
489914,2009-12-03 10:28:00,12921.0,United Kingdom,29,508,993.0,0
489915,2009-12-03 10:37:00,17035.0,United Kingdom,2,36,54.599999999999994,0
489916,2009-12-03 10:37:00,15194.0,United Kingdom,9,212,336.0,0
489932,2009-12-03 10:49:00,14347.0,United Kingdom,6,48,82.6,0
489935,2009-12-03 10:51:00,12934.0,United Kingdom,2,31,181.65,0
489994,2009-12-03 11:09:00,15291.0,United Kingdom,4,142,430.9,0
489996,2009-12-03 11:10:00,17209.0,United Kingdom,5,514,320.40000000000003,0
489998,2009-12-03 11:19:00,15658.0,United Kingdom,17,93,321.65,0
489999,2009-12-03 11:25:00,17314.0,United Kingdom,7,72,154.2,0
490000,2009-12-03 11:34:00,17155.0,United Kingdom,12,89,143.06,0
490001,2009-12-03 11:45:00,15965.0,United Kingdom,2,94,169.5,0
490002,2009-12-03 11:46:00,17322.0,United Kingdom,28,115,114.55,0
490003,2009-12-03 11:51:00,16159.0,United Kingdom,12,163,317.55,0
490004,2009-12-03 11:53:00,14051.0,United Kingdom,9,224,912.5600000000001,0
490005,2009-12-03 11:57:00,13993.0,United Kingdom,25,203,556.75,0
490006,2009-12-03 12:02:00,17411.0,United Kingdom,19,150,344.40000000000003,0
490008,2009-12-03 12:10:00,15768.0,United Kingdom,63,256,502.28,0
490009,2009-12-03 12:13:00,12835.0,United Kingdom,31,100,285.09,0
490010,2009-12-03 12:15:00,15061.0,United Kingdom,1,480,1008.0,0
490011,2009-12-03 12:27:00,16918.0,United Kingdom,43,138,221.69,0
490012,2009-12-03 12:27:00,15179.0,United Kingdom,27,339,763.35,0
490013,2009-12-03 12:27:00,17069.0,United Kingdom,33,395,500.55,0
490014,2009-12-03 12:28:00,15466.0,United Kingdom,92,406,740.46,0
490017,2009-12-03 12:31:00,14159.0,United Kingdom,99,267,393.65,0
490018,2009-12-03 12:31:00,17940.0,United Kingdom,4,17520,4380.0,0
490019,2009-12-03 12:34:00,17581.0,United Kingdom,15,116,308.6,0
490020,2009-12-03 12:36:00,17581.0,United Kingdom,3,14,37.8,0
490021,2009-12-03 12:36:00,17581.0,United Kingdom,1,12,10.2,0
490022,2009-12-03 12:37:00,17581.0,United Kingdom,3,24,45.60000000000001,0
490023,2009-12-03 12:38:00,16168.0,United Kingdom,4,49,189.15,0
490024,2009-12-03 12:40:00,14606.0,United Kingdom,49,121,215.0,0
490030,2009-12-03 12:44:00,,United Kingdom,2,12,58.2,1
490034,2009-12-03 12:45:00,17287.0,United Kingdom,11,30,69.82,0
490045,2009-12-03 12:50:00,17287.0,United Kingdom,22,109,180.39,0
490046,2009-12-03 13:02:00,13416.0,United Kingdom,7,66,228.3,0
490047,2009-12-03 13:02:00,17913.0,United Kingdom,28,131,263.85,0
490048,2009-12-03 13:03:00,16779.0,United Kingdom,35,681,1146.71,0
490049,2009-12-03 13:04:00,15794.0,United Kingdom,1,40,102.0,0
490050,2009-12-03 13:05:00,17913.0,United Kingdom,1,2,13.5,0
490052,2009-12-03 13:09:00,13895.0,United Kingdom,42,408,831.0,0
490053,2009-12-03 13:17:00,14057.0,United Kingdom,17,101,119.54,0
490054,2009-12-03 13:22:00,17017.0,United Kingdom,7,186,277.5,0
490056,2009-12-03 13:25:00,13208.0,United Kingdom,16,56,61.12,0
490057,2009-12-03 13:25:00,17465.0,United Kingdom,20,184,360.52,0
490058,2009-12-03 13:26:00,17465.0,United Kingdom,2,27,47.85,0
490059,2009-12-03 13:30:00,18102.0,United Kingdom,9,4825,14475.0,0
490060,2009-12-03 13:32:00,13468.0,United Kingdom,17,148,314.22,0
490061,2009-12-03 13:42:00,18102.0,United Kingdom,4,2000,4000.0,0
490062,2009-12-03 13:46:00,13485.0,United Kingdom,8,86,165.3,0
490063,2009-12-03 13:49:00,17271.0,United Kingdom,48,113,204.3,0
490064,2009-12-03 13:51:00,16139.0,United Kingdom,19,215,355.59000000000003,0
490065,2009-12-03 13:58:00,15061.0,United Kingdom,1,600,1260.0,0
490066,2009-12-03 14:00:00,15953.0,United Kingdom,7,212,372.2,0
490067,2009-12-03 14:02:00,15856.0,United Kingdom,24,412,952.61,0
490068,2009-12-03 14:06:00,13085.0,United Kingdom,9,90,284.3,0
490069,2009-12-03 14:07:00,13085.0,United Kingdom,5,60,161.39999999999998,0
490070,2009-12-03 14:07:00,14967.0,United Kingdom,5,68,236.25,0
490071,2009-12-03 14:11:00,16497.0,United Kingdom,19,111,294.85,0
490072,2009-12-03 14:28:00,17764.0,United Kingdom,29,69,187.15,0
490073,2009-12-03 14:36:00,14905.0,United Kingdom,13,172,258.1,0
490074,2009-12-03 14:39:00,,United Kingdom,579,1199,5637.96,1
490075,2009-12-03 14:42:00,18229.0,United Kingdom,4,84,381.0,0
490077,2009-12-03 15:09:00,17293.0,United Kingdom,6,65,115.50999999999999,0
490078,2009-12-03 15:09:00,17853.0,United Kingdom,29,159,584.35,0
490079,2009-12-03 15:15:00,15550.0,United Kingdom,10,85,160.35,0
490080,2009-12-03 15:20:00,13531.0,United Kingdom,15,126,311.7,0
490081,2009-12-03 15:32:00,13786.0,United Kingdom,20,323,723.09,0
490082,2009-12-03 15:34:00,14952.0,United Kingdom,7,262,337.9,0
490083,2009-12-03 15:35:00,14031.0,United Kingdom,61,1132,2506.14,0
490085,2009-12-03 15:43:00,12937.0,United Kingdom,15,108,170.06,0
490086,2009-12-03 15:48:00,17949.0,United Kingdom,1,432,799.2,0
490087,2009-12-03 15:49:00,15601.0,United Kingdom,51,668,898.1800000000001,0
490088,2009-12-03 15:50:00,15581.0,United Kingdom,2,2,17.0,0
490089,2009-12-03 15:52:00,17949.0,United Kingdom,1,252,466.20000000000005,0
490090,2009-12-03 15:53:00,15581.0,United Kingdom,15,23,41.18,0
490091,2009-12-03 15:54:00,17949.0,United Kingdom,1,600,636.0,0
490092,2009-12-03 15:54:00,16612.0,United Kingdom,23,297,510.87,0
490093,2009-12-03 15:56:00,12949.0,United Kingdom,64,896,1794.7,0
490094,2009-12-03 15:56:00,17949.0,United Kingdom,1,504,851.76,0
490095,2009-12-03 16:02:00,14958.0,United Kingdom,12,54,186.36,0
490097,2009-12-03 16:09:00,17329.0,United Kingdom,35,144,273.52,0
490099,2009-12-03 16:12:00,16736.0,United Kingdom,74,526,1225.98,0
490100,2009-12-03 16:21:00,13001.0,United Kingdom,83,403,869.9300000000001,0
490101,2009-12-03 16:24:00,14644.0,United Kingdom,11,150,338.5,0
490106,2009-12-03 16:40:00,14898.0,United Kingdom,20,275,314.37,0
490107,2009-12-03 16:47:00,14662.0,United Kingdom,8,30,110.69999999999999,0
490108,2009-12-03 16:49:00,17414.0,United Kingdom,5,444,239.68,0
490109,2009-12-03 16:51:00,14755.0,United Kingdom,20,204,415.0,0
490110,2009-12-03 16:52:00,14755.0,United Kingdom,2,13,30.15,0
490111,2009-12-03 16:54:00,17576.0,United Kingdom,30,220,319.96000000000004,0
490112,2009-12-03 17:04:00,13037.0,United Kingdom,20,161,313.19,0
490113,2009-12-03 17:12:00,14710.0,United Kingdom,11,16,39.2,0
490114,2009-12-03 17:29:00,18168.0,United Kingdom,22,160,257.62,0
490115,2009-12-03 17:32:00,17679.0,United Kingdom,12,316,342.6,0
490116,2009-12-03 17:33:00,17679.0,United Kingdom,4,48,122.39999999999999,0
490118,2009-12-03 17:46:00,17851.0,United Kingdom,47,151,317.04,0
490119,2009-12-03 17:48:00,12931.0,United Kingdom,1,75,108.75,0
490121,2009-12-03 17:57:00,14750.0,United Kingdom,32,65,112.03,0
490124,2009-12-03 18:08:00,16791.0,United Kingdom,43,106,304.92,0
490125,2009-12-03 18:11:00,16558.0,United Kingdom,9,109,297.05,0
490127,2009-12-03 18:13:00,14156.0,EIRE,33,203,569.1800000000001,0
490128,2009-12-03 18:23:00,15884.0,United Kingdom,13,150,236.70000000000002,0
490132,2009-12-03 18:30:00,17343.0,United Kingdom,12,89,197.3,0
490134,2009-12-03 18:41:00,17372.0,United Kingdom,25,59,151.65,0
490135,2009-12-03 18:51:00,16003.0,United Kingdom,18,127,387.87,0
490136,2009-12-03 19:13:00,17432.0,United Kingdom,39,69,159.95,0
490137,2009-12-03 19:22:00,14713.0,United Kingdom,21,104,160.69,0
490138,2009-12-03 19:23:00,16722.0,United Kingdom,14,198,339.78,0
490139,2009-12-03 19:31:00,12577.0,France,13,79,210.55,0
490140,2009-12-03 20:03:00,12872.0,United Kingdom,43,227,407.22,0
490141,2009-12-04 08:24:00,15755.0,United Kingdom,18,158,308.75,0
490142,2009-12-04 08:36:00,14258.0,United Kingdom,14,356,1261.0,0
490143,2009-12-04 08:40:00,14286.0,United Kingdom,76,1687,1610.52,0
490144,2009-12-04 08:46:00,13154.0,United Kingdom,18,152,337.1,0
490145,2009-12-04 09:27:00,14564.0,Channel Islands,39,439,989.18,0
490147,2009-12-04 09:31:00,13408.0,United Kingdom,8,472,510.64,0
490149,2009-12-04 09:43:00,,United Kingdom,558,1213,5607.06,1
